Day,Spot
2/26/2018,2.6
2/23/2018,2.58
2/22/2018,2.65
2/21/2018,2.65
2/20/2018,2.61
2/16/2018,2.49
2/15/2018,2.49
2/14/2018,2.53
2/13/2018,2.58
2/12/2018,2.6
2/9/2018,2.66
2/8/2018,2.74
2/7/2018,2.74
2/6/2018,2.75
2/5/2018,2.85
2/2/2018,2.91
2/1/2018,3.06
1/31/2018,3.34
1/30/2018,3.6
1/29/2018,3.6
1/26/2018,3.58
1/25/2018,3.54
1/24/2018,3.54
1/23/2018,3.35
1/22/2018,3.13
1/19/2018,3.2
1/18/2018,3.92
1/17/2018,3.92
1/16/2018,5.46
1/12/2018,4.06
1/11/2018,3.16
1/10/2018,3.16
1/9/2018,2.93
1/8/2018,2.89
1/5/2018,
1/4/2018,4.65
1/3/2018,6.24
1/2/2018,6.24
12/29/2017,3.69
12/28/2017,2.97
12/27/2017,2.76
12/26/2017,2.68
12/22/2017,2.63
12/21/2017,2.64
12/20/2017,2.72
12/19/2017,2.75
12/18/2017,2.71
12/15/2017,2.6
12/14/2017,2.69
12/13/2017,2.87
12/12/2017,2.87
12/11/2017,2.81
12/8/2017,2.78
12/7/2017,2.81
12/6/2017,2.86
12/5/2017,2.86
12/4/2017,2.91
12/1/2017,2.84
11/30/2017,3.06
11/29/2017,3.06
11/28/2017,2.88
11/27/2017,2.88
11/24/2017,3.05
11/23/2017,3.05
11/22/2017,3.05
11/21/2017,3.05
11/20/2017,3.04
11/17/2017,3.04
11/16/2017,3.09
11/15/2017,3.16
11/14/2017,3.06
11/13/2017,3.13
11/10/2017,3.17
11/9/2017,3.18
11/8/2017,3.16
11/7/2017,3.07
11/6/2017,3.01
11/3/2017,2.75
11/2/2017,2.68
11/1/2017,2.68
10/31/2017,2.84
10/30/2017,2.94
10/27/2017,2.78
10/26/2017,2.91
10/25/2017,2.98
10/24/2017,2.95
10/23/2017,2.95
10/20/2017,2.8
10/19/2017,2.83
10/18/2017,2.81
10/17/2017,2.88
10/16/2017,2.87
10/13/2017,2.99
10/12/2017,2.95
10/11/2017,2.89
10/10/2017,2.89
10/9/2017,2.87
10/6/2017,2.93
10/5/2017,2.8
10/4/2017,2.8
10/3/2017,2.73
10/2/2017,2.94
9/29/2017,2.94
9/28/2017,2.96
9/27/2017,2.98
9/26/2017,2.96
9/25/2017,2.96
9/22/2017,2.93
9/21/2017,3.11
9/20/2017,3.13
9/19/2017,3.18
9/18/2017,3.11
9/15/2017,3
9/14/2017,3.03
9/13/2017,3.02
9/12/2017,2.88
9/11/2017,2.88
9/8/2017,2.88
9/7/2017,2.92
9/6/2017,2.98
9/5/2017,2.88
9/4/2017,2.88
9/1/2017,2.88
8/31/2017,2.92
8/30/2017,2.95
8/29/2017,2.95
8/28/2017,2.95
8/25/2017,2.93
8/24/2017,2.97
8/23/2017,2.94
8/22/2017,3
8/21/2017,3
8/18/2017,2.9
8/17/2017,2.91
8/16/2017,2.94
8/15/2017,2.96
8/14/2017,3.02
8/11/2017,2.96
8/10/2017,2.89
8/9/2017,2.81
8/8/2017,2.81
8/7/2017,2.8
8/4/2017,2.76
8/3/2017,2.76
8/2/2017,2.8
8/1/2017,2.8
7/31/2017,2.87
7/28/2017,2.96
7/27/2017,2.95
7/26/2017,2.92
7/25/2017,2.99
7/24/2017,2.99
7/21/2017,3.06
7/20/2017,3.12
7/19/2017,3.11
7/18/2017,3.11
7/17/2017,3.04
7/14/2017,2.94
7/13/2017,2.96
7/12/2017,3.01
7/11/2017,2.98
7/10/2017,2.92
7/7/2017,2.91
7/6/2017,2.89
7/5/2017,2.98
7/4/2017,2.98
7/3/2017,2.98
6/30/2017,2.98
6/29/2017,3.07
6/28/2017,3.03
6/27/2017,2.99
6/26/2017,2.98
6/23/2017,2.89
6/22/2017,2.88
6/21/2017,2.91
6/20/2017,2.91
6/19/2017,2.87
6/16/2017,3.01
6/15/2017,2.94
6/14/2017,2.95
6/13/2017,3.12
6/12/2017,3.12
