Day,Futures
2/27/2018,2.683
2/26/2018,2.639
2/23/2018,2.625
2/22/2018,2.634
2/21/2018,2.659
2/20/2018,2.616
2/19/2018,2.558
2/16/2018,2.558
2/15/2018,2.58
2/14/2018,2.587
2/13/2018,2.594
2/12/2018,2.552
2/9/2018,2.584
2/8/2018,2.697
2/7/2018,2.702
2/6/2018,2.759
2/5/2018,2.747
2/2/2018,2.846
2/1/2018,2.856
1/31/2018,2.995
1/30/2018,3.195
1/29/2018,3.631
1/26/2018,3.505
1/25/2018,3.447
1/24/2018,3.509
1/23/2018,3.444
1/22/2018,3.224
1/19/2018,3.185
1/18/2018,3.189
1/17/2018,3.232
1/16/2018,3.129
1/15/2018,3.2
1/12/2018,3.2
1/11/2018,3.084
1/10/2018,2.906
1/9/2018,2.923
1/8/2018,2.835
1/5/2018,2.795
1/4/2018,2.88
1/3/2018,3.008
1/2/2018,3.056
1/1/2018,2.953
12/29/2017,2.953
12/28/2017,2.914
12/27/2017,2.738
12/26/2017,2.643
12/22/2017,2.667
12/21/2017,2.598
12/20/2017,2.637
12/19/2017,2.692
12/18/2017,2.745
12/15/2017,2.612
12/14/2017,2.684
12/13/2017,2.715
12/12/2017,2.678
12/11/2017,2.828
12/8/2017,2.772
12/7/2017,2.763
12/6/2017,2.922
12/5/2017,2.914
12/4/2017,2.985
12/1/2017,3.061
11/30/2017,3.025
11/29/2017,3.179
11/28/2017,3.074
11/27/2017,2.928
11/22/2017,2.968
11/21/2017,3.017
11/20/2017,3.047
11/17/2017,3.097
11/16/2017,3.053
11/15/2017,3.08
11/14/2017,3.102
11/13/2017,3.167
11/9/2017,3.2
11/8/2017,3.175
11/7/2017,3.152
11/6/2017,3.134
11/3/2017,2.984
11/2/2017,2.935
11/1/2017,2.893
10/31/2017,2.896
10/30/2017,2.966
10/27/2017,2.752
10/26/2017,2.89
10/25/2017,2.919
10/24/2017,2.974
10/23/2017,2.991
10/20/2017,2.915
10/19/2017,2.873
10/18/2017,2.854
10/17/2017,2.962
10/16/2017,2.946
10/13/2017,3
10/12/2017,2.989
10/11/2017,2.889
10/10/2017,2.891
10/6/2017,2.863
10/5/2017,2.923
10/4/2017,2.94
10/3/2017,2.895
10/2/2017,2.916
9/29/2017,3.007
9/28/2017,3.017
9/27/2017,2.974
9/26/2017,2.918
9/25/2017,2.919
9/22/2017,2.959
9/21/2017,2.946
9/20/2017,3.094
9/19/2017,3.122
9/18/2017,3.146
9/15/2017,3.024
9/14/2017,3.07
9/13/2017,3.058
9/12/2017,3.001
9/11/2017,2.95
9/8/2017,2.89
9/7/2017,2.981
9/6/2017,3
9/5/2017,2.972
9/1/2017,3.07
8/31/2017,3.04
8/30/2017,2.939
8/29/2017,2.961
8/28/2017,2.925
8/25/2017,2.892
8/24/2017,2.949
8/23/2017,2.928
8/22/2017,2.939
8/21/2017,2.962
8/18/2017,2.893
8/17/2017,2.929
8/16/2017,2.89
8/15/2017,2.935
8/14/2017,2.959
8/11/2017,2.983
8/10/2017,2.985
8/9/2017,2.883
8/8/2017,2.822
8/7/2017,2.801
8/4/2017,2.774
8/3/2017,2.8
8/2/2017,2.811
8/1/2017,2.819
7/31/2017,2.794
7/28/2017,2.941
7/27/2017,2.969
7/26/2017,2.924
7/25/2017,2.944
7/24/2017,2.899
7/21/2017,2.97
7/20/2017,3.043
7/19/2017,3.066
7/18/2017,3.088
7/17/2017,3.02
7/14/2017,2.98
7/13/2017,2.961
7/12/2017,2.985
7/11/2017,3.047
7/10/2017,2.929
7/7/2017,2.864
7/6/2017,2.888
7/5/2017,2.84
7/3/2017,2.951
6/30/2017,3.035
6/29/2017,3.042
6/28/2017,3.067
6/27/2017,3.037
6/26/2017,3.027
6/23/2017,2.929
6/22/2017,2.894
6/21/2017,2.893
6/20/2017,2.907
6/19/2017,2.894
6/16/2017,3.037
