Date,Futures
2/23/2018,2.618
2/16/2018,2.574
2/9/2018,2.698
2/2/2018,3.105
1/26/2018,3.426
1/19/2018,3.187
1/12/2018,2.99
1/5/2018,2.938
12/29/2017,2.812
12/22/2017,2.668
12/15/2017,2.703
12/8/2017,2.871
12/1/2017,3.053
11/24/2017,3.011
11/17/2017,3.1
11/10/2017,3.165
11/3/2017,2.935
10/27/2017,2.905
10/20/2017,2.91
10/13/2017,2.942
10/6/2017,2.907
9/29/2017,2.967
9/22/2017,3.053
9/15/2017,3.021
9/8/2017,2.961
9/1/2017,2.987
8/25/2017,2.934
8/18/2017,2.921
8/11/2017,2.895
8/4/2017,2.8
7/28/2017,2.935
7/21/2017,3.037
7/14/2017,2.98
7/7/2017,2.886
6/30/2017,3.042
6/23/2017,2.903
6/16/2017,3.003
6/9/2017,3.022
6/2/2017,3.056
5/26/2017,3.236
5/19/2017,3.242
5/12/2017,3.298
5/5/2017,3.218
4/28/2017,3.153
4/21/2017,3.151
4/14/2017,3.201
4/7/2017,3.256
3/31/2017,3.141
3/24/2017,3.054
3/17/2017,2.962
3/10/2017,2.922
3/3/2017,2.779
2/24/2017,2.6
2/17/2017,2.892
2/10/2017,3.096
2/3/2017,3.153
1/27/2017,3.325
1/20/2017,3.322
1/13/2017,3.282
1/6/2017,3.288
12/30/2016,3.804
12/23/2016,3.479
12/16/2016,3.484
12/9/2016,3.667
12/2/2016,3.368
11/25/2016,2.986
11/18/2016,2.754
11/11/2016,2.693
11/4/2016,2.851
10/28/2016,2.841
10/21/2016,3.162
10/14/2016,3.268
10/7/2016,3.034
9/30/2016,2.962
9/23/2016,2.997
9/16/2016,2.918
9/9/2016,2.749
9/2/2016,2.83
8/26/2016,2.791
8/19/2016,2.617
8/12/2016,2.612
8/5/2016,2.79
7/29/2016,2.776
7/22/2016,2.715
7/15/2016,2.731
7/8/2016,2.782
7/1/2016,2.881
6/24/2016,2.71
6/17/2016,2.597
6/10/2016,2.516
6/3/2016,2.356
5/27/2016,2.032
5/20/2016,2.036
5/13/2016,2.136
5/6/2016,2.089
4/29/2016,2.069
4/22/2016,2.061
4/15/2016,1.965
4/8/2016,1.974
4/1/2016,1.932
3/25/2016,1.823
3/18/2016,1.876
3/11/2016,1.753
3/4/2016,1.687
2/26/2016,1.777
2/19/2016,1.875
2/12/2016,2.049
2/5/2016,2.05
1/29/2016,2.201
1/22/2016,2.122
1/15/2016,2.232
1/8/2016,2.356
1/1/2016,2.288
12/25/2015,1.953
12/18/2015,1.806
12/11/2015,2.041
12/4/2015,2.2
11/27/2015,2.205
11/20/2015,2.305
11/13/2015,2.31
11/6/2015,2.301
10/30/2015,2.153
10/23/2015,2.399
10/16/2015,2.475
10/9/2015,2.479
10/2/2015,2.511
9/25/2015,2.575
9/18/2015,2.681
9/11/2015,2.684
9/4/2015,2.684
8/28/2015,2.676
8/21/2015,2.716
8/14/2015,2.841
8/7/2015,2.794
7/31/2015,2.796
7/24/2015,2.839
7/17/2015,2.871
7/10/2015,2.731
7/3/2015,2.811
6/26/2015,2.768
6/19/2015,2.846
6/12/2015,2.803
6/5/2015,2.639
5/29/2015,2.746
5/22/2015,2.942
5/15/2015,2.932
5/8/2015,2.798
5/1/2015,2.628
4/24/2015,2.556
4/17/2015,2.594
4/10/2015,2.598
4/3/2015,2.651
3/27/2015,2.701
3/20/2015,2.818
3/13/2015,2.739
3/6/2015,2.772
2/27/2015,2.821
2/20/2015,2.844
2/13/2015,2.718
2/6/2015,2.655
1/30/2015,2.828
1/23/2015,2.907
1/16/2015,3.051
1/9/2015,2.913
1/2/2015,3.044
12/26/2014,3.088
12/19/2014,3.629
12/12/2014,3.676
12/5/2014,3.827
11/28/2014,4.219
11/21/2014,4.342
11/14/2014,4.137
11/7/2014,4.237
10/31/2014,3.728
10/24/2014,3.657
10/17/2014,3.819
10/10/2014,3.883
10/3/2014,4.054
9/26/2014,3.906
9/19/2014,3.937
9/12/2014,3.899
9/5/2014,3.837
