,Spot Price,Futures Price
Apr-1997,2.03,2.005
May-1997,2.25,2.253
Jun-1997,2.2,2.161
Jul-1997,2.19,2.134
Aug-1997,2.49,2.462
Sep-1997,2.88,2.873
Oct-1997,3.07,3.243
Nov-1997,3.01,3.092
Dec-1997,2.35,2.406
Jan-1998,2.09,2.101
Feb-1998,2.23,2.263
Mar-1998,2.24,2.253
Apr-1998,2.43,2.465
May-1998,2.14,2.16
Jun-1998,2.17,2.168
Jul-1998,2.17,2.147
Aug-1998,1.85,1.855
Sep-1998,2.02,2.04
Oct-1998,1.91,2.201
Nov-1998,2.12,2.321
Dec-1998,1.72,1.927
Jan-1999,1.85,1.831
Feb-1999,1.77,1.761
Mar-1999,1.79,1.801
Apr-1999,2.15,2.153
May-1999,2.26,2.272
Jun-1999,2.3,2.346
Jul-1999,2.31,2.307
Aug-1999,2.8,2.802
Sep-1999,2.55,2.636
Oct-1999,2.73,2.883
Nov-1999,2.37,2.549
Dec-1999,2.36,2.423
Jan-2000,2.42,2.385
Feb-2000,2.66,2.614
Mar-2000,2.79,2.828
Apr-2000,3.04,3.028
May-2000,3.59,3.596
Jun-2000,4.29,4.303
Jul-2000,3.99,3.972
Aug-2000,4.43,4.46
Sep-2000,5.06,5.13
Oct-2000,5.02,5.079
Nov-2000,5.52,5.74
Dec-2000,8.9,8.618
Jan-2001,8.17,7.825
Feb-2001,5.61,5.675
Mar-2001,5.23,5.189
Apr-2001,5.19,5.189
May-2001,4.19,4.244
Jun-2001,3.72,3.782
Jul-2001,3.11,3.167
Aug-2001,2.97,2.935
Sep-2001,2.19,2.213
Oct-2001,2.46,2.618
Nov-2001,2.34,2.786
Dec-2001,2.3,2.686
Jan-2002,2.32,2.19
Feb-2002,2.32,2.263
Mar-2002,3.03,3.015
Apr-2002,3.43,3.41
May-2002,3.5,3.563
Jun-2002,3.26,3.259
Jul-2002,2.99,2.942
Aug-2002,3.09,3.092
Sep-2002,3.55,3.569
Oct-2002,4.13,4.088
Nov-2002,4.04,4.04
Dec-2002,4.74,4.838
Jan-2003,5.43,5.381
Feb-2003,7.71,6.657
Mar-2003,5.93,5.786
Apr-2003,5.26,5.358
May-2003,5.81,5.926
Jun-2003,5.82,5.925
Jul-2003,5.03,5.034
Aug-2003,4.99,4.978
Sep-2003,4.62,4.667
Oct-2003,4.63,4.986
Nov-2003,4.47,4.834
Dec-2003,6.13,6.469
Jan-2004,6.14,6.272
Feb-2004,5.37,5.363
Mar-2004,5.39,5.542
Apr-2004,5.71,5.765
May-2004,6.33,6.398
Jun-2004,6.27,6.334
Jul-2004,5.93,6.064
Aug-2004,5.41,5.471
Sep-2004,5.15,5.219
Oct-2004,6.35,7.371
Nov-2004,6.17,7.608
Dec-2004,6.58,6.828
Jan-2005,6.15,6.186
Feb-2005,6.14,6.203
Mar-2005,6.96,7.045
Apr-2005,7.16,7.15
May-2005,6.47,6.486
Jun-2005,7.18,7.206
Jul-2005,7.63,7.579
Aug-2005,9.53,9.427
Sep-2005,11.75,12.111
Oct-2005,13.42,13.454
Nov-2005,10.3,11.695
Dec-2005,13.05,13.425
Jan-2006,8.69,9.136
Feb-2006,7.54,7.52
Mar-2006,6.89,6.979
Apr-2006,7.16,7.264
May-2006,6.25,6.372
Jun-2006,6.21,6.385
Jul-2006,6.17,6.222
Aug-2006,7.14,6.989
Sep-2006,4.9,5.218
Oct-2006,5.85,6.633
Nov-2006,7.41,7.995
Dec-2006,6.73,7.161
Jan-2007,6.55,6.775
Feb-2007,8,7.546
Mar-2007,7.11,7.221
Apr-2007,7.6,7.629
May-2007,7.64,7.821
Jun-2007,7.35,7.503
Jul-2007,6.22,6.399
Aug-2007,6.22,6.137
Sep-2007,6.08,6.188
Oct-2007,6.74,7.223
Nov-2007,7.1,7.778
Dec-2007,7.11,7.178
Jan-2008,7.99,7.991
Feb-2008,8.54,8.642
Mar-2008,9.41,9.624
Apr-2008,10.18,10.288
May-2008,11.27,11.381
Jun-2008,12.69,12.784
Jul-2008,11.09,11.067
Aug-2008,8.26,8.301
Sep-2008,7.67,7.485
Oct-2008,6.74,6.727
Nov-2008,6.68,6.7
Dec-2008,5.82,5.794
Jan-2009,5.24,5.07
Feb-2009,4.52,4.382
Mar-2009,3.96,4.002
Apr-2009,3.5,3.561
May-2009,3.83,3.934
Jun-2009,3.8,3.935
Jul-2009,3.38,3.551
Aug-2009,3.14,3.305
Sep-2009,2.99,3.462
Oct-2009,4.01,4.78
Nov-2009,3.66,4.628
Dec-2009,5.35,5.344
Jan-2010,5.83,5.599
Feb-2010,5.32,5.215
Mar-2010,4.29,4.301
Apr-2010,4.03,4.088
May-2010,4.14,4.155
Jun-2010,4.8,4.785
Jul-2010,4.63,4.59
Aug-2010,4.32,4.22
Sep-2010,3.89,3.898
Oct-2010,3.43,3.6
Nov-2010,3.71,4.042
Dec-2010,4.25,4.283
Jan-2011,4.49,4.499
Feb-2011,4.09,4.036
Mar-2011,3.97,4.069
Apr-2011,4.24,4.272
May-2011,4.31,4.336
Jun-2011,4.54,4.516
Jul-2011,4.42,4.353
Aug-2011,4.06,3.984
Sep-2011,3.9,3.849
Oct-2011,3.57,3.624
Nov-2011,3.24,3.558
Dec-2011,3.17,3.246
Jan-2012,2.67,2.708
Feb-2012,2.51,2.526
Mar-2012,2.17,2.296
Apr-2012,1.95,2.048
May-2012,2.43,2.493
Jun-2012,2.46,2.498
Jul-2012,2.95,2.963
Aug-2012,2.84,2.807
Sep-2012,2.85,2.918
Oct-2012,3.32,3.5
Nov-2012,3.54,3.687
Dec-2012,3.34,3.444
Jan-2013,3.33,3.35
Feb-2013,3.33,3.314
Mar-2013,3.81,3.773
Apr-2013,4.17,4.161
May-2013,4.04,4.068
Jun-2013,3.83,3.806
Jul-2013,3.62,3.641
Aug-2013,3.43,3.413
Sep-2013,3.62,3.618
Oct-2013,3.68,3.654
Nov-2013,3.64,3.64
Dec-2013,4.24,4.277
Jan-2014,4.71,4.542
Feb-2014,6,5.163
Mar-2014,4.9,4.486
Apr-2014,4.66,4.608
May-2014,4.58,4.536
Jun-2014,4.59,4.594
Jul-2014,4.05,4.025
Aug-2014,3.91,3.899
Sep-2014,3.92,3.921
Oct-2014,3.78,3.801
Nov-2014,4.12,4.235
Dec-2014,3.48,3.509
Jan-2015,2.99,2.929
Feb-2015,2.87,2.755
Mar-2015,2.83,2.747
Apr-2015,2.61,2.591
May-2015,2.85,2.856
Jun-2015,2.78,2.769
Jul-2015,2.84,2.805
Aug-2015,2.77,2.753
Sep-2015,2.66,2.639
Oct-2015,2.34,2.378
Nov-2015,2.09,2.281
Dec-2015,1.93,2.044
Jan-2016,2.28,2.233
Feb-2016,1.99,1.929
Mar-2016,1.73,1.812
Apr-2016,1.92,2.014
May-2016,1.92,2.083
Jun-2016,2.59,2.634
Jul-2016,2.82,2.761
Aug-2016,2.82,2.722
Sep-2016,2.99,2.903
Oct-2016,2.98,3.064
Nov-2016,2.55,2.875
Dec-2016,3.59,3.591
Jan-2017,3.3,3.291
Feb-2017,2.85,2.907
Mar-2017,2.88,2.992
Apr-2017,3.1,3.189
May-2017,3.15,3.236
Jun-2017,2.98,2.994
Jul-2017,2.98,2.955
Aug-2017,2.9,2.905
Sep-2017,2.98,3.006
Oct-2017,2.88,2.916
Nov-2017,3.01,3.064
Dec-2017,2.82,2.776
Jan-2018,3.69,3.153
